코드,종목명,지정여부(Y/N),지정일,해제일,사유,확인자,확인일자,근거URL,검색기간,공식분류코드,조회건수,검토상태,비고,ticker
005930,삼성전자,N,,,,collect_kind_admin_history.py,2026-07-30,https://kind.krx.co.kr/disclosure/details.do?method=searchDetailsMain,2020-01-01~2026-07-30,0350,0,AUTOMATED_KIND_EXACT_TICKER,연도별 7개 정확 종목코드 질의 결과 0건,005930
000660,SK하이닉스,N,,,,collect_kind_admin_history.py,2026-07-30,https://kind.krx.co.kr/disclosure/details.do?method=searchDetailsMain,2020-01-01~2026-07-30,0350,0,AUTOMATED_KIND_EXACT_TICKER,연도별 7개 정확 종목코드 질의 결과 0건,000660
042700,한미반도체,N,,,,collect_kind_admin_history.py,2026-07-30,https://kind.krx.co.kr/disclosure/details.do?method=searchDetailsMain,2020-01-01~2026-07-30,0350,0,AUTOMATED_KIND_EXACT_TICKER,연도별 7개 정확 종목코드 질의 결과 0건,042700
089030,테크윙,N,,,,collect_kind_admin_history.py,2026-07-30,https://kind.krx.co.kr/disclosure/details.do?method=searchDetailsMain,2020-01-01~2026-07-30,0350,0,AUTOMATED_KIND_EXACT_TICKER,연도별 7개 정확 종목코드 질의 결과 0건,089030
067310,하나마이크론,N,,,,collect_kind_admin_history.py,2026-07-30,https://kind.krx.co.kr/disclosure/details.do?method=searchDetailsMain,2020-01-01~2026-07-30,0350,0,AUTOMATED_KIND_EXACT_TICKER,연도별 7개 정확 종목코드 질의 결과 0건,067310
095340,ISC,N,,,,collect_kind_admin_history.py,2026-07-30,https://kind.krx.co.kr/disclosure/details.do?method=searchDetailsMain,2020-01-01~2026-07-30,0350,0,AUTOMATED_KIND_EXACT_TICKER,연도별 7개 정확 종목코드 질의 결과 0건,095340
112290,와이씨켐,N,,,,collect_kind_admin_history.py,2026-07-30,https://kind.krx.co.kr/disclosure/details.do?method=searchDetailsMain,2020-01-01~2026-07-30,0350,0,AUTOMATED_KIND_EXACT_TICKER,연도별 7개 정확 종목코드 질의 결과 0건,112290
033160,엠케이전자,N,,,,collect_kind_admin_history.py,2026-07-30,https://kind.krx.co.kr/disclosure/details.do?method=searchDetailsMain,2020-01-01~2026-07-30,0350,0,AUTOMATED_KIND_EXACT_TICKER,연도별 7개 정확 종목코드 질의 결과 0건,033160
222800,심텍,N,,,,collect_kind_admin_history.py,2026-07-30,https://kind.krx.co.kr/disclosure/details.do?method=searchDetailsMain,2020-01-01~2026-07-30,0350,0,AUTOMATED_KIND_EXACT_TICKER,연도별 7개 정확 종목코드 질의 결과 0건,222800
353200,대덕전자,N,,,,collect_kind_admin_history.py,2026-07-30,https://kind.krx.co.kr/disclosure/details.do?method=searchDetailsMain,2020-01-01~2026-07-30,0350,0,AUTOMATED_KIND_EXACT_TICKER,연도별 7개 정확 종목코드 질의 결과 0건,353200
102710,이엔에프테크놀로지,N,,,,collect_kind_admin_history.py,2026-07-30,https://kind.krx.co.kr/disclosure/details.do?method=searchDetailsMain,2020-01-01~2026-07-30,0350,0,AUTOMATED_KIND_EXACT_TICKER,연도별 7개 정확 종목코드 질의 결과 0건,102710
357780,솔브레인,N,,,,collect_kind_admin_history.py,2026-07-30,https://kind.krx.co.kr/disclosure/details.do?method=searchDetailsMain,2020-01-01~2026-07-30,0350,0,AUTOMATED_KIND_EXACT_TICKER,연도별 7개 정확 종목코드 질의 결과 0건,357780
014680,한솔케미칼,N,,,,collect_kind_admin_history.py,2026-07-30,https://kind.krx.co.kr/disclosure/details.do?method=searchDetailsMain,2020-01-01~2026-07-30,0350,0,AUTOMATED_KIND_EXACT_TICKER,연도별 7개 정확 종목코드 질의 결과 0건,014680
403870,HPSP,N,,,,collect_kind_admin_history.py,2026-07-30,https://kind.krx.co.kr/disclosure/details.do?method=searchDetailsMain,2020-01-01~2026-07-30,0350,0,AUTOMATED_KIND_EXACT_TICKER,연도별 7개 정확 종목코드 질의 결과 0건,403870
394280,오픈엣지테크놀로지,N,,,,collect_kind_admin_history.py,2026-07-30,https://kind.krx.co.kr/disclosure/details.do?method=searchDetailsMain,2020-01-01~2026-07-30,0350,0,AUTOMATED_KIND_EXACT_TICKER,연도별 7개 정확 종목코드 질의 결과 0건,394280
039030,이오테크닉스,N,,,,collect_kind_admin_history.py,2026-07-30,https://kind.krx.co.kr/disclosure/details.do?method=searchDetailsMain,2020-01-01~2026-07-30,0350,0,AUTOMATED_KIND_EXACT_TICKER,연도별 7개 정확 종목코드 질의 결과 0건,039030
322310,오로스테크놀로지,N,,,,collect_kind_admin_history.py,2026-07-30,https://kind.krx.co.kr/disclosure/details.do?method=searchDetailsMain,2020-01-01~2026-07-30,0350,0,AUTOMATED_KIND_EXACT_TICKER,연도별 7개 정확 종목코드 질의 결과 0건,322310
064290,인텍플러스,N,,,,collect_kind_admin_history.py,2026-07-30,https://kind.krx.co.kr/disclosure/details.do?method=searchDetailsMain,2020-01-01~2026-07-30,0350,0,AUTOMATED_KIND_EXACT_TICKER,연도별 7개 정확 종목코드 질의 결과 0건,064290
131290,티에스이,N,,,,collect_kind_admin_history.py,2026-07-30,https://kind.krx.co.kr/disclosure/details.do?method=searchDetailsMain,2020-01-01~2026-07-30,0350,0,AUTOMATED_KIND_EXACT_TICKER,연도별 7개 정확 종목코드 질의 결과 0건,131290
253590,네오셈,N,,,,collect_kind_admin_history.py,2026-07-30,https://kind.krx.co.kr/disclosure/details.do?method=searchDetailsMain,2020-01-01~2026-07-30,0350,0,AUTOMATED_KIND_EXACT_TICKER,연도별 7개 정확 종목코드 질의 결과 0건,253590
086390,유니테스트,N,,,,collect_kind_admin_history.py,2026-07-30,https://kind.krx.co.kr/disclosure/details.do?method=searchDetailsMain,2020-01-01~2026-07-30,0350,0,AUTOMATED_KIND_EXACT_TICKER,연도별 7개 정확 종목코드 질의 결과 0건,086390
003160,디아이,N,,,,collect_kind_admin_history.py,2026-07-30,https://kind.krx.co.kr/disclosure/details.do?method=searchDetailsMain,2020-01-01~2026-07-30,0350,0,AUTOMATED_KIND_EXACT_TICKER,연도별 7개 정확 종목코드 질의 결과 0건,003160
348210,넥스틴,N,,,,collect_kind_admin_history.py,2026-07-30,https://kind.krx.co.kr/disclosure/details.do?method=searchDetailsMain,2020-01-01~2026-07-30,0350,0,AUTOMATED_KIND_EXACT_TICKER,연도별 7개 정확 종목코드 질의 결과 0건,348210
036540,SFA반도체,N,,,,collect_kind_admin_history.py,2026-07-30,https://kind.krx.co.kr/disclosure/details.do?method=searchDetailsMain,2020-01-01~2026-07-30,0350,0,AUTOMATED_KIND_EXACT_TICKER,연도별 7개 정확 종목코드 질의 결과 0건,036540
061970,LB세미콘,N,,,,collect_kind_admin_history.py,2026-07-30,https://kind.krx.co.kr/disclosure/details.do?method=searchDetailsMain,2020-01-01~2026-07-30,0350,0,AUTOMATED_KIND_EXACT_TICKER,연도별 7개 정확 종목코드 질의 결과 0건,061970
195870,해성디에스,N,,,,collect_kind_admin_history.py,2026-07-30,https://kind.krx.co.kr/disclosure/details.do?method=searchDetailsMain,2020-01-01~2026-07-30,0350,0,AUTOMATED_KIND_EXACT_TICKER,연도별 7개 정확 종목코드 질의 결과 0건,195870
005290,동진쎄미켐,N,,,,collect_kind_admin_history.py,2026-07-30,https://kind.krx.co.kr/disclosure/details.do?method=searchDetailsMain,2020-01-01~2026-07-30,0350,0,AUTOMATED_KIND_EXACT_TICKER,연도별 7개 정확 종목코드 질의 결과 0건,005290
166090,하나머티리얼즈,N,,,,collect_kind_admin_history.py,2026-07-30,https://kind.krx.co.kr/disclosure/details.do?method=searchDetailsMain,2020-01-01~2026-07-30,0350,0,AUTOMATED_KIND_EXACT_TICKER,연도별 7개 정확 종목코드 질의 결과 0건,166090
104830,원익머트리얼즈,N,,,,collect_kind_admin_history.py,2026-07-30,https://kind.krx.co.kr/disclosure/details.do?method=searchDetailsMain,2020-01-01~2026-07-30,0350,0,AUTOMATED_KIND_EXACT_TICKER,연도별 7개 정확 종목코드 질의 결과 0건,104830
425040,티이엠씨,N,,,,collect_kind_admin_history.py,2026-07-30,https://kind.krx.co.kr/disclosure/details.do?method=searchDetailsMain,2020-01-01~2026-07-30,0350,0,AUTOMATED_KIND_EXACT_TICKER,연도별 7개 정확 종목코드 질의 결과 0건,425040
281820,케이씨텍,N,,,,collect_kind_admin_history.py,2026-07-30,https://kind.krx.co.kr/disclosure/details.do?method=searchDetailsMain,2020-01-01~2026-07-30,0350,0,AUTOMATED_KIND_EXACT_TICKER,연도별 7개 정확 종목코드 질의 결과 0건,281820
036930,주성엔지니어링,N,,,,collect_kind_admin_history.py,2026-07-30,https://kind.krx.co.kr/disclosure/details.do?method=searchDetailsMain,2020-01-01~2026-07-30,0350,0,AUTOMATED_KIND_EXACT_TICKER,연도별 7개 정확 종목코드 질의 결과 0건,036930
007660,이수페타시스,N,,,,collect_kind_admin_history.py,2026-07-30,https://kind.krx.co.kr/disclosure/details.do?method=searchDetailsMain,2020-01-01~2026-07-30,0350,0,AUTOMATED_KIND_EXACT_TICKER,연도별 7개 정확 종목코드 질의 결과 0건,007660
