코드,종목명,지정여부(Y/N),지정일,해제일,사유,확인자,확인일자,근거URL,검색연도수,비고,ticker
005930,삼성전자,N,,,,노민수,2026-07-28,https://kind.krx.co.kr/common/searchcorpname.do?method=searchCorpNameSub&isurCd=005930,7,사업보고서 7개 연도 전수 검색 — 관련 기재 없음 | 현재 소속부: 미확인,005930
000660,SK하이닉스,N,,,,노민수,2026-07-28,https://kind.krx.co.kr/common/searchcorpname.do?method=searchCorpNameSub&isurCd=000660,7,사업보고서 7개 연도 전수 검색 — 관련 기재 없음 | 현재 소속부: 미확인,000660
042700,한미반도체,N,,,,노민수,2026-07-28,https://kind.krx.co.kr/common/searchcorpname.do?method=searchCorpNameSub&isurCd=042700,7,사업보고서 7개 연도 전수 검색 — 관련 기재 없음 | 현재 소속부: 미확인,042700
089030,테크윙,N,,,,노민수,2026-07-28,https://kind.krx.co.kr/common/searchcorpname.do?method=searchCorpNameSub&isurCd=089030,7,사업보고서 7개 연도 전수 검색 — 관련 기재 없음 | 현재 소속부: 중견기업부,089030
067310,하나마이크론,N,,,,노민수,2026-07-28,https://kind.krx.co.kr/common/searchcorpname.do?method=searchCorpNameSub&isurCd=067310,7,사업보고서 7개 연도 전수 검색 — 관련 기재 없음 | 현재 소속부: 중견기업부,067310
095340,ISC,N,,,,노민수,2026-07-28,https://kind.krx.co.kr/common/searchcorpname.do?method=searchCorpNameSub&isurCd=095340,7,사업보고서 7개 연도 전수 검색 — 관련 기재 없음 | 현재 소속부: 우량기업부,095340
112290,와이씨켐,N,,,,노민수,2026-07-28,https://kind.krx.co.kr/common/searchcorpname.do?method=searchCorpNameSub&isurCd=112290,4,사업보고서 4개 연도 전수 검색 — 관련 기재 없음 | 현재 소속부: 기술성장기업부,112290
033160,엠케이전자,N,,,,노민수,2026-07-28,https://kind.krx.co.kr/common/searchcorpname.do?method=searchCorpNameSub&isurCd=033160,7,사업보고서 7개 연도 전수 검색 — 관련 기재 없음 | 현재 소속부: 중견기업부,033160
222800,심텍,N,,,,노민수,2026-07-28,https://kind.krx.co.kr/common/searchcorpname.do?method=searchCorpNameSub&isurCd=222800,7,사업보고서 7개 연도 전수 검색 — 관련 기재 없음 | 현재 소속부: 중견기업부,222800
353200,대덕전자,N,,,,노민수,2026-07-28,https://kind.krx.co.kr/common/searchcorpname.do?method=searchCorpNameSub&isurCd=353200,6,사업보고서 6개 연도 전수 검색 — 관련 기재 없음 | 현재 소속부: 미확인,353200
102710,이엔에프테크놀로지,N,,,,노민수,2026-07-28,https://kind.krx.co.kr/common/searchcorpname.do?method=searchCorpNameSub&isurCd=102710,7,사업보고서 7개 연도 전수 검색 — 관련 기재 없음 | 현재 소속부: 우량기업부,102710
357780,솔브레인,N,,,,노민수,2026-07-28,https://kind.krx.co.kr/common/searchcorpname.do?method=searchCorpNameSub&isurCd=357780,6,사업보고서 6개 연도 전수 검색 — 관련 기재 없음 | 현재 소속부: 우량기업부,357780
014680,한솔케미칼,N,,,,노민수,2026-07-28,https://kind.krx.co.kr/common/searchcorpname.do?method=searchCorpNameSub&isurCd=014680,7,사업보고서 7개 연도 전수 검색 — 관련 기재 없음 | 현재 소속부: 미확인,014680
403870,HPSP,N,,,,노민수,2026-07-28,https://kind.krx.co.kr/common/searchcorpname.do?method=searchCorpNameSub&isurCd=403870,4,사업보고서 4개 연도 전수 검색 — 관련 기재 없음 | 현재 소속부: 우량기업부,403870
394280,오픈엣지테크놀로지,N,,,,노민수,2026-07-28,https://kind.krx.co.kr/common/searchcorpname.do?method=searchCorpNameSub&isurCd=394280,4,사업보고서 4개 연도 전수 검색 — 관련 기재 없음 | 현재 소속부: 기술성장기업부,394280
039030,이오테크닉스,N,,,,노민수,2026-07-28,https://kind.krx.co.kr/common/searchcorpname.do?method=searchCorpNameSub&isurCd=039030,7,사업보고서 7개 연도 전수 검색 — 관련 기재 없음 | 현재 소속부: 우량기업부,039030
322310,오로스테크놀로지,N,,,,노민수,2026-07-28,https://kind.krx.co.kr/common/searchcorpname.do?method=searchCorpNameSub&isurCd=322310,6,사업보고서 6개 연도 전수 검색 — 관련 기재 없음 | 현재 소속부: 벤처기업부,322310
064290,인텍플러스,N,,,,노민수,2026-07-28,https://kind.krx.co.kr/common/searchcorpname.do?method=searchCorpNameSub&isurCd=064290,7,사업보고서 7개 연도 전수 검색 — 관련 기재 없음 | 현재 소속부: 중견기업부,064290
131290,티에스이,N,,,,노민수,2026-07-28,https://kind.krx.co.kr/common/searchcorpname.do?method=searchCorpNameSub&isurCd=131290,7,사업보고서 7개 연도 전수 검색 — 관련 기재 없음 | 현재 소속부: 우량기업부,131290
253590,네오셈,N,,,,노민수,2026-07-28,https://kind.krx.co.kr/common/searchcorpname.do?method=searchCorpNameSub&isurCd=253590,7,사업보고서 7개 연도 전수 검색 — 관련 기재 없음 | 현재 소속부: 우량기업부,253590
086390,유니테스트,N,,,,노민수,2026-07-28,https://kind.krx.co.kr/common/searchcorpname.do?method=searchCorpNameSub&isurCd=086390,7,사업보고서 7개 연도 전수 검색 — 관련 기재 없음 | 현재 소속부: 중견기업부,086390
003160,디아이,N,,,,노민수,2026-07-28,https://kind.krx.co.kr/common/searchcorpname.do?method=searchCorpNameSub&isurCd=003160,7,사업보고서 7개 연도 전수 검색 — 관련 기재 없음 | 현재 소속부: 미확인,003160
348210,넥스틴,N,,,,노민수,2026-07-28,https://kind.krx.co.kr/common/searchcorpname.do?method=searchCorpNameSub&isurCd=348210,6,사업보고서 6개 연도 전수 검색 — 관련 기재 없음 | 현재 소속부: 우량기업부,348210
036540,SFA반도체,N,,,,노민수,2026-07-28,https://kind.krx.co.kr/common/searchcorpname.do?method=searchCorpNameSub&isurCd=036540,7,사업보고서 7개 연도 전수 검색 — 관련 기재 없음 | 현재 소속부: 중견기업부,036540
061970,LB세미콘,N,,,,노민수,2026-07-28,https://kind.krx.co.kr/common/searchcorpname.do?method=searchCorpNameSub&isurCd=061970,7,사업보고서 7개 연도 전수 검색 — 관련 기재 없음 | 현재 소속부: 중견기업부,061970
195870,해성디에스,N,,,,노민수,2026-07-28,https://kind.krx.co.kr/common/searchcorpname.do?method=searchCorpNameSub&isurCd=195870,7,사업보고서 7개 연도 전수 검색 — 관련 기재 없음 | 현재 소속부: 미확인,195870
005290,동진쎄미켐,N,,,,노민수,2026-07-28,https://kind.krx.co.kr/common/searchcorpname.do?method=searchCorpNameSub&isurCd=005290,7,사업보고서 7개 연도 전수 검색 — 관련 기재 없음 | 현재 소속부: 우량기업부,005290
