ex_date,ticker,dps
2020-12-30,000660,1170.0
2020-12-30,003160,100.0
2020-12-30,005290,100.0
2020-12-30,005930,2994.0
2020-12-30,014680,1800.0
2020-12-30,033160,140.0
2020-12-30,039030,300.0
2020-12-30,042700,400.0
2020-12-30,061970,50.0
2020-12-30,064290,100.0
2020-12-30,089030,230.0
2020-12-30,095340,150.0
2020-12-30,102710,150.0
2020-12-30,104830,200.0
2020-12-30,131290,250.0
2020-12-30,166090,300.0
2020-12-30,195870,450.0
2020-12-30,222800,320.0
2020-12-30,253590,20.0
2020-12-30,281820,220.0
2020-12-30,353200,300.0
2020-12-30,357780,1950.0
2021-12-30,000660,1540.0
2021-12-30,003160,200.0
2021-12-30,005290,110.0
2021-12-30,005930,1444.0
2021-12-30,014680,2100.0
2021-12-30,033160,150.0
2021-12-30,036930,155.0
2021-12-30,039030,900.0
2021-12-30,042700,300.0
2021-12-30,061970,50.0
2021-12-30,064290,200.0
2021-12-30,089030,230.0
2021-12-30,095340,200.0
2021-12-30,102710,150.0
2021-12-30,104830,400.0
2021-12-30,131290,500.0
2021-12-30,166090,600.0
2021-12-30,195870,600.0
2021-12-30,222800,500.0
2021-12-30,253590,15.0
2021-12-30,281820,220.0
2021-12-30,348210,500.0
2021-12-30,353200,300.0
2021-12-30,357780,1950.0
2022-12-29,000660,1200.0
2022-12-29,003160,100.0
2022-12-29,005290,130.0
2022-12-29,005930,1444.0
2022-12-29,007660,100.0
2022-12-29,014680,2100.0
2022-12-29,033160,100.0
2022-12-29,036930,193.0
2022-12-29,039030,1000.0
2022-12-29,042700,200.0
2022-12-29,064290,200.0
2022-12-29,067310,50.0
2022-12-29,089030,130.0
2022-12-29,095340,600.0
2022-12-29,102710,150.0
2022-12-29,104830,800.0
2022-12-29,112290,100.0
2022-12-29,131290,500.0
2022-12-29,166090,600.0
2022-12-29,195870,900.0
2022-12-29,222800,500.0
2022-12-29,253590,35.0
2022-12-29,281820,250.0
2022-12-29,348210,500.0
2022-12-29,353200,400.0
2022-12-29,357780,2000.0
2022-12-29,403870,150.0
2023-12-28,000660,1200.0
2023-12-28,003160,100.0
2023-12-28,005290,120.0
2023-12-28,005930,1444.0
2023-12-28,007660,100.0
2023-12-28,014680,2100.0
2023-12-28,033160,100.0
2023-12-28,036930,50.0
2023-12-28,039030,450.0
2023-12-28,042700,420.0
2023-12-28,067310,50.0
2023-12-28,086390,150.0
2023-12-28,089030,130.0
2023-12-28,095340,200.0
2023-12-28,102710,50.0
2023-12-28,104830,150.0
2023-12-28,166090,200.0
2023-12-28,195870,900.0
2023-12-28,222800,160.0
2023-12-28,253590,30.0
2023-12-28,281820,180.0
2023-12-28,348210,500.0
2023-12-28,353200,300.0
2023-12-28,357780,2000.0
2023-12-28,403870,150.0
2023-12-28,425040,700.0
2024-12-30,000660,2204.0
2024-12-30,003160,100.0
2024-12-30,005290,200.0
2024-12-30,005930,1446.0
2024-12-30,007660,150.0
2024-12-30,014680,2100.0
2024-12-30,033160,100.0
2024-12-30,036930,287.0
2024-12-30,039030,500.0
2024-12-30,042700,720.0
2024-12-30,067310,70.0
2024-12-30,089030,130.0
2024-12-30,095340,810.0
2024-12-30,102710,150.0
2024-12-30,104830,350.0
2024-12-30,131290,400.0
2024-12-30,166090,250.0
2024-12-30,195870,800.0
2024-12-30,222800,100.0
2024-12-30,253590,60.0
2024-12-30,281820,270.0
2024-12-30,348210,500.0
2024-12-30,353200,400.0
2024-12-30,357780,2300.0
2024-12-30,403870,600.0
2024-12-30,425040,100.0
2025-12-30,000660,3000.0
2025-12-30,003160,250.0
2025-12-30,005290,650.0
2025-12-30,005930,1668.0
2025-12-30,007660,230.0
2025-12-30,014680,2600.0
2025-12-30,033160,120.0
2025-12-30,036930,53.0
2025-12-30,039030,1200.0
2025-12-30,042700,800.0
2025-12-30,067310,70.0
2025-12-30,089030,130.0
2025-12-30,095340,850.0
2025-12-30,102710,200.0
2025-12-30,104830,500.0
2025-12-30,131290,450.0
2025-12-30,166090,300.0
2025-12-30,195870,900.0
2025-12-30,222800,100.0
2025-12-30,253590,100.0
2025-12-30,281820,450.0
2025-12-30,348210,510.0
2025-12-30,353200,500.0
2025-12-30,357780,2350.0
2025-12-30,403870,500.0
2025-12-30,425040,150.0
