ticker,listing_date,추정 개수,추정 폭(일),source
000660,1996-12-26,1,0,krx_official
003160,1996-07-31,1,0,krx_official
005290,1999-12-21,1,0,krx_official
005930,1975-06-11,1,0,krx_official
007660,2003-10-07,1,0,krx_official
014680,1989-05-20,1,0,krx_official
033160,1997-11-10,1,0,krx_official
036540,2001-05-02,1,0,krx_official
036930,1999-12-24,1,0,krx_official
039030,2000-08-24,1,0,krx_official
042700,2005-07-22,1,0,krx_official
061970,2011-01-31,1,0,krx_official
064290,2011-01-05,1,0,krx_official
067310,2005-10-11,1,0,krx_official
086390,2006-12-05,1,0,krx_official
089030,2011-11-10,1,0,krx_official
095340,2007-10-01,1,0,krx_official
102710,2009-05-28,1,0,krx_official
104830,2011-12-28,1,0,krx_official
112290,2022-07-14,1,0,krx_official
131290,2011-01-05,1,0,krx_official
166090,2017-04-28,1,0,krx_official
195870,2016-06-24,1,0,krx_official
222800,2015-08-07,1,0,krx_official
253590,2018-04-04,1,0,krx_official
281820,2017-12-05,1,0,krx_official
322310,2021-02-24,1,0,krx_official
348210,2020-10-08,1,0,krx_official
353200,2020-05-21,1,0,krx_official
357780,2020-08-06,1,0,krx_official
394280,2022-09-26,1,0,krx_official
403870,2022-07-15,1,0,krx_official
425040,2023-01-19,1,0,krx_official
