시장,종목코드,기업명,업종,주요제품,결산월,분기라벨,연도,분기,매출액(천원),영업이익(천원),당기순이익(천원),판관비(천원),자산총계(천원),유동자산(천원),부채총계(천원),유동부채(천원),자본총계(천원),이익잉여금(천원),현금및현금성자산(천원),영업활동으로인한현금흐름(천원),시가총액(백만원),유동시총(백만원),유동비율,액면가(원),기말발행주식수(보통주)(주),유동주식수(보통주)(주),분기말종가(원),자본금(천원),재무제표기준
KOSPI,000660,SK하이닉스,반도체 제조업,"반도체,컴퓨터,통신기기 제조,도매",12월,2020Q1,2020,1,7198892000.0,800301000.0,649050000.0,1391772000.0,67142787000.0,15799759000.0,18895063000.0,8707249000.0,48247724000.0,42890187000.0,2169664000.0,2331545000.0,60642597.0,44808815.0,0.7389,5000.0,728002365.0,537920947.0,83300.0,3657652000.0,CFS
KOSPI,000660,SK하이닉스,반도체 제조업,"반도체,컴퓨터,통신기기 제조,도매",12월,2020Q2,2020,2,8606534000.0,1946715000.0,1264260000.0,1397490000.0,69259297000.0,17362825000.0,19856421000.0,9595472000.0,49402876000.0,44148533000.0,3918249000.0,3354484000.0,61953001.0,45777072.0,0.7389,5000.0,728002365.0,537920947.0,85100.0,3657652000.0,CFS
KOSPI,000660,SK하이닉스,반도체 제조업,"반도체,컴퓨터,통신기기 제조,도매",12월,2020Q3,2020,3,8128767000.0,1299696000.0,1077862000.0,1543561000.0,69267173000.0,17036210000.0,18768114000.0,8851618000.0,50499059000.0,45221291000.0,2807138000.0,3366715000.0,61152199.0,45185360.0,0.7389,5000.0,728002365.0,537920947.0,84000.0,3657652000.0,CFS
KOSPI,000660,SK하이닉스,반도체 제조업,"반도체,컴퓨터,통신기기 제조,도매",12월,2020Q4,2020,4,7966225000.0,965912000.0,1767742000.0,1465182000.0,71173853000.0,16570953000.0,19264756000.0,9072360000.0,51909097000.0,46995728000.0,2975989000.0,3261827000.0,86268280.0,63743632.0,0.7389,5000.0,728002365.0,537920947.0,118500.0,3657652000.0,CFS
KOSPI,000660,SK하이닉스,반도체 제조업,"반도체,컴퓨터,통신기기 제조,도매",12월,2021Q1,2021,1,8494188000.0,1324421000.0,992640000.0,1404127000.0,75118008000.0,18384877000.0,22739419000.0,9830992000.0,52378589000.0,47178853000.0,2226144000.0,3206762000.0,96460313.0,71274525.0,0.7389,5000.0,728002365.0,537920947.0,132500.0,3657652000.0,CFS
KOSPI,000660,SK하이닉스,반도체 제조업,"반도체,컴퓨터,통신기기 제조,도매",12월,2021Q2,2021,2,10321671000.0,2694574000.0,1988424000.0,1644870000.0,77717897000.0,20099557000.0,22839883000.0,9186924000.0,54878014000.0,49156421000.0,2666351000.0,4549973000.0,92820302.0,69039741.0,0.7438,5000.0,728002365.0,541488159.0,127500.0,3657652000.0,CFS
KOSPI,000660,SK하이닉스,반도체 제조업,"반도체,컴퓨터,통신기기 제조,도매",12월,2021Q3,2021,3,11805324000.0,4171821000.0,3315251000.0,1659233000.0,83269048000.0,24910504000.0,24554602000.0,10545603000.0,58714446000.0,52460405000.0,2761977000.0,6266689000.0,74984244.0,55773281.0,0.7438,5000.0,728002365.0,541488159.0,103000.0,3657652000.0,CFS
KOSPI,000660,SK하이닉스,반도체 제조업,"반도체,컴퓨터,통신기기 제조,도매",12월,2021Q4,2021,4,12376609000.0,4219524000.0,3319873000.0,1833622000.0,96386474000.0,26870451000.0,34195416000.0,14769356000.0,62191058000.0,55784068000.0,5057982000.0,5774224000.0,95368310.0,70934949.0,0.7438,5000.0,728002365.0,541488159.0,131000.0,3657652000.0,CFS
KOSPI,000660,SK하이닉스,반도체 제조업,"반도체,컴퓨터,통신기기 제조,도매",12월,2022Q1,2022,1,12155653000.0,2859615000.0,1982928000.0,2548124000.0,99466056000.0,27767761000.0,36067417000.0,16659247000.0,63398639000.0,56692698000.0,4982764000.0,5141228000.0,85904279.0,63895603.0,0.7438,5000.0,728002365.0,541488159.0,118000.0,3657652000.0,CFS
KOSPI,000660,SK하이닉스,반도체 제조업,"반도체,컴퓨터,통신기기 제조,도매",12월,2022Q2,2022,2,13811001000.0,4192617000.0,2876821000.0,2151762000.0,104147622000.0,29719276000.0,37387462000.0,16869305000.0,66760160000.0,59346943000.0,4546312000.0,4573665000.0,66248215.0,62578064.0,0.9446,5000.0,728002365.0,687671034.0,91000.0,3657652000.0,CFS
KOSPI,000660,SK하이닉스,반도체 제조업,"반도체,컴퓨터,통신기기 제조,도매",12월,2022Q3,2022,3,10982883000.0,1655559000.0,1102652000.0,2217102000.0,109545800000.0,31896913000.0,40822614000.0,18383115000.0,68723186000.0,60232908000.0,4719217000.0,3880827000.0,60496997.0,57145463.0,0.9446,5000.0,728002365.0,687671034.0,83100.0,3657652000.0,CFS
KOSPI,000660,SK하이닉스,반도체 제조업,"반도체,컴퓨터,통신기기 제조,도매",12월,2022Q4,2022,4,7672031000.0,-1898374000.0,-3720732000.0,1901450000.0,103871512000.0,28733332000.0,40580970000.0,19843696000.0,63290542000.0,56685260000.0,4977007000.0,1184797000.0,54600177.0,40617072.0,0.7439,5000.0,728002365.0,541560959.0,75000.0,3657652000.0,CFS
KOSPI,000660,SK하이닉스,반도체 제조업,"반도체,컴퓨터,통신기기 제조,도매",12월,2023Q1,2023,1,5088111000.0,-3402302000.0,-2585491000.0,1757003000.0,104384608000.0,28834021000.0,43376074000.0,17276137000.0,61008534000.0,53893809000.0,4894782000.0,-2005488000.0,64501010.0,47982301.0,0.7439,5000.0,728002365.0,541560959.0,88600.0,3657652000.0,CFS
KOSPI,000660,SK하이닉스,반도체 제조업,"반도체,컴퓨터,통신기기 제조,도매",12월,2023Q2,2023,2,7305933000.0,-2882084000.0,-2987907000.0,1704256000.0,102819007000.0,29661132000.0,45359957000.0,19776433000.0,57459050000.0,50686060000.0,6040810000.0,1311439000.0,83865872.0,79270022.0,0.9452,5000.0,728002365.0,688107835.0,115200.0,3657652000.0,CFS
KOSPI,000660,SK하이닉스,반도체 제조업,"반도체,컴퓨터,통신기기 제조,도매",12월,2023Q3,2023,3,9066170000.0,-1791961000.0,-2184699000.0,1856087000.0,102049450000.0,30393967000.0,46817890000.0,20250122000.0,55231560000.0,48287780000.0,7122306000.0,1019332000.0,83501871.0,78925968.0,0.9452,5000.0,728002365.0,688107835.0,114700.0,3657652000.0,CFS
KOSPI,000660,SK하이닉스,반도체 제조업,"반도체,컴퓨터,통신기기 제조,도매",12월,2023Q4,2023,4,11305505000.0,346034000.0,-1379450000.0,1879519000.0,100330165000.0,30468100000.0,46826413000.0,21007810000.0,53503752000.0,46729313000.0,7587329000.0,3952908000.0,103012335.0,76692683.0,0.7445,5000.0,728002365.0,541997761.0,141500.0,3657652000.0,CFS
KOSPI,000660,SK하이닉스,반도체 제조업,"반도체,컴퓨터,통신기기 제조,도매",12월,2024Q1,2024,1,12429598000.0,2886029000.0,1917039000.0,1908616000.0,103197515000.0,33026065000.0,47690113000.0,23401233000.0,55507402000.0,48391710000.0,8381395000.0,5356478000.0,133224433.0,99185590.0,0.7445,5000.0,728002365.0,541997761.0,183000.0,3657652000.0,CFS
KOSPI,000660,SK하이닉스,반도체 제조업,"반도체,컴퓨터,통신기기 제조,도매",12월,2024Q2,2024,2,16423258000.0,5468536000.0,4120003000.0,2027928000.0,105624349000.0,35683696000.0,45794329000.0,23354170000.0,59830020000.0,52301637000.0,7933829000.0,5659023000.0,172172559.0,128302991.0,0.7452,5000.0,728002365.0,542507362.0,236500.0,3657652000.0,CFS
KOSPI,000660,SK하이닉스,반도체 제조업,"반도체,컴퓨터,통신기기 제조,도매",12월,2024Q3,2024,3,17573069000.0,7029958000.0,5753373000.0,2141426000.0,108367058000.0,37078030000.0,43065538000.0,23031263000.0,65301520000.0,57842344000.0,9135688000.0,7759262000.0,127109213.0,94721786.0,0.7452,5000.0,728002365.0,542507362.0,174600.0,3657652000.0,CFS
KOSPI,000660,SK하이닉스,반도체 제조업,"반도체,컴퓨터,통신기기 제조,도매",12월,2024Q4,2024,4,19767035000.0,8082796000.0,8006487000.0,2282857000.0,119855209000.0,42278887000.0,45939505000.0,24965444000.0,73915704000.0,65418061000.0,11205117000.0,11021122000.0,126599611.0,94417990.0,0.7458,5000.0,728002365.0,542944164.0,173900.0,3657652000.0,CFS
KOSPI,000660,SK하이닉스,반도체 제조업,"반도체,컴퓨터,통신기기 제조,도매",12월,2025Q1,2025,1,17639141000.0,7440504000.0,8108195000.0,2661487000.0,123985470000.0,41228190000.0,42546717000.0,24836401000.0,81438753000.0,72621873000.0,12558069000.0,9023671000.0,138830051.0,103539452.0,0.7458,5000.0,728002365.0,542944164.0,190700.0,3657652000.0,CFS
KOSPI,000660,SK하이닉스,반도체 제조업,"반도체,컴퓨터,통신기기 제조,도매",12월,2025Q2,2025,2,22231952000.0,9212851000.0,6996216000.0,2770473000.0,129087781000.0,45203170000.0,41945296000.0,25324404000.0,87142485000.0,79357906000.0,9075311000.0,9166170000.0,212576691.0,201607734.0,0.9484,5000.0,728002365.0,690437443.0,292000.0,3657652000.0,CFS
KOSPI,000660,SK하이닉스,반도체 제조업,"반도체,컴퓨터,통신기기 제조,도매",12월,2025Q3,2025,3,24448929000.0,11383390000.0,12597538000.0,2645710000.0,148435030000.0,57139556000.0,48428751000.0,29769431000.0,100006279000.0,91690724000.0,10814515000.0,14321549000.0,252980822.0,239927012.0,0.9484,5000.0,728002365.0,690437443.0,347500.0,3657652000.0,CFS
KOSPI,000660,SK하이닉스,반도체 제조업,"반도체,컴퓨터,통신기기 제조,도매",12월,2025Q4,2025,4,32826653000.0,19169574000.0,15245953000.0,3406801000.0,176107659000.0,69458073000.0,55440908000.0,37378999000.0,120666751000.0,106576548000.0,14923766000.0,20861736000.0,473929540.0,361703025.0,0.7632,5000.0,728002365.0,555611405.0,651000.0,3657652000.0,CFS
KOSPI,000660,SK하이닉스,반도체 제조업,"반도체,컴퓨터,통신기기 제조,도매",12월,2026Q1,2026,1,52576287000.0,37610283000.0,40345909000.0,4069131000.0,222828744000.0,106506116000.0,58448945000.0,40700530000.0,164379799000.0,148746385000.0,21166904000.0,26330119000.0,575150809.0,438955097.0,0.7632,5000.0,712702365.0,543934445.0,807000.0,3657652000.0,CFS
KOSPI,003160,디아이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","반도체검사장비,전자부품,레저용품,석제품 제조,판매,오파,부동산임대업",12월,2020Q1,2020,1,18429397.0,-4849481.0,-2178305.0,8818512.0,231972259.0,112843887.0,94085058.0,64296771.0,137887201.0,73456112.0,35213659.0,-6823862.0,75592.0,42944.0,0.5681,500.0,31496785.0,17893324.0,2400.0,17248392.0,CFS
KOSPI,003160,디아이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","반도체검사장비,전자부품,레저용품,석제품 제조,판매,오파,부동산임대업",12월,2020Q2,2020,2,25283217.0,5057251.0,6894024.0,2590379.0,196327641.0,78455379.0,87860542.0,56865766.0,108467100.0,64064246.0,19581233.0,1545836.0,126617.0,48304.0,0.3815,500.0,31496785.0,12016023.0,4020.0,17248392.0,OFS
KOSPI,003160,디아이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","반도체검사장비,전자부품,레저용품,석제품 제조,판매,오파,부동산임대업",12월,2020Q3,2020,3,38436714.0,4039507.0,1792442.0,6421283.0,181462504.0,63411272.0,71284223.0,40710844.0,110178281.0,65854598.0,21629506.0,9451908.0,121420.0,46322.0,0.3815,500.0,31496785.0,12016023.0,3855.0,17248392.0,OFS
KOSPI,003160,디아이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","반도체검사장비,전자부품,레저용품,석제품 제조,판매,오파,부동산임대업",12월,2020Q4,2020,4,80108209.0,1274622.0,-749894.0,20024799.0,228890878.0,103085859.0,92401937.0,54669247.0,136488940.0,79773864.0,35751581.0,6670702.0,150397.0,57376.0,0.3815,500.0,31496785.0,12016023.0,4775.0,17248392.0,CFS
KOSPI,003160,디아이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","반도체검사장비,전자부품,레저용품,석제품 제조,판매,오파,부동산임대업",12월,2021Q1,2021,1,51846812.0,3955060.0,4520297.0,8648663.0,253959959.0,128576957.0,113391109.0,81800414.0,140568850.0,83604152.0,31659602.0,-7898442.0,219533.0,83752.0,0.3815,500.0,31496785.0,12016023.0,6970.0,17248392.0,CFS
KOSPI,003160,디아이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","반도체검사장비,전자부품,레저용품,석제품 제조,판매,오파,부동산임대업",12월,2021Q2,2021,2,80476674.0,11268417.0,8939788.0,10346631.0,256806384.0,134248973.0,106868454.0,78793901.0,149937930.0,92631575.0,35430427.0,3336026.0,253549.0,96729.0,0.3815,500.0,31496785.0,12016023.0,8050.0,17248392.0,CFS
KOSPI,003160,디아이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","반도체검사장비,전자부품,레저용품,석제품 제조,판매,오파,부동산임대업",12월,2021Q3,2021,3,47529377.0,3783026.0,2925763.0,9704059.0,253628475.0,136680393.0,100840165.0,72683971.0,152788310.0,95694761.0,35657243.0,1863335.0,245045.0,93485.0,0.3815,500.0,31496785.0,12016023.0,7780.0,17248392.0,CFS
KOSPI,003160,디아이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","반도체검사장비,전자부품,레저용품,석제품 제조,판매,오파,부동산임대업",12월,2021Q4,2021,4,46714497.0,-2530363.0,-1246440.0,13657016.0,248156662.0,121089114.0,96098088.0,63178468.0,152058573.0,93209182.0,26169503.0,-5323706.0,294810.0,112470.0,0.3815,500.0,31496785.0,12016023.0,9360.0,17248392.0,CFS
KOSPI,003160,디아이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","반도체검사장비,전자부품,레저용품,석제품 제조,판매,오파,부동산임대업",12월,2022Q1,2022,1,55247777.0,5057576.0,4981641.0,9462924.0,284792424.0,156229951.0,130264861.0,87934159.0,154527563.0,94347242.0,40841951.0,-1874376.0,254179.0,96969.0,0.3815,500.0,31496785.0,12016023.0,8070.0,17248392.0,CFS
KOSPI,003160,디아이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","반도체검사장비,전자부품,레저용품,석제품 제조,판매,오파,부동산임대업",12월,2022Q2,2022,2,60315752.0,5490592.0,4536483.0,10477405.0,294032297.0,164318389.0,135084475.0,98845074.0,158947821.0,98343647.0,33844024.0,6776648.0,184886.0,70534.0,0.3815,500.0,31496785.0,12016023.0,5870.0,17248392.0,CFS
KOSPI,003160,디아이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","반도체검사장비,전자부품,레저용품,석제품 제조,판매,오파,부동산임대업",12월,2022Q3,2022,3,66173021.0,5161296.0,4769050.0,11227847.0,281047832.0,151215499.0,117346632.0,80775214.0,163701200.0,102933926.0,52063584.0,16009642.0,134019.0,51128.0,0.3815,500.0,31496785.0,12016023.0,4255.0,17248392.0,CFS
KOSPI,003160,디아이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","반도체검사장비,전자부품,레저용품,석제품 제조,판매,오파,부동산임대업",12월,2022Q4,2022,4,49267819.0,-4556020.0,878115.0,14681370.0,274585823.0,132045534.0,111206587.0,74184325.0,163379236.0,93946832.0,36156204.0,-4186116.0,134284.0,72178.0,0.5375,500.0,28300000.0,15211250.0,4745.0,17248392.0,CFS
KOSPI,003160,디아이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","반도체검사장비,전자부품,레저용품,석제품 제조,판매,오파,부동산임대업",12월,2023Q1,2023,1,39216900.0,865832.0,539659.0,9624189.0,278656593.0,135601866.0,117295817.0,80792375.0,161360775.0,92153403.0,27246466.0,-4278379.0,170649.0,91724.0,0.5375,500.0,28300000.0,15211250.0,6030.0,17248392.0,CFS
KOSPI,003160,디아이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","반도체검사장비,전자부품,레저용품,석제품 제조,판매,오파,부동산임대업",12월,2023Q2,2023,2,64507427.0,5564127.0,3860443.0,10868442.0,289250231.0,146294940.0,124162654.0,97301319.0,165087577.0,96056447.0,21814862.0,-19858899.0,214231.0,115149.0,0.5375,500.0,28300000.0,15211250.0,7570.0,17248392.0,CFS
KOSPI,003160,디아이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","반도체검사장비,전자부품,레저용품,석제품 제조,판매,오파,부동산임대업",12월,2023Q3,2023,3,57680707.0,2636074.0,280211.0,11144725.0,290221314.0,148666870.0,124816899.0,94769514.0,165404415.0,96518107.0,27763853.0,12721701.0,205175.0,110282.0,0.5375,500.0,28300000.0,15211250.0,7250.0,17248392.0,CFS
KOSPI,003160,디아이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","반도체검사장비,전자부품,레저용품,석제품 제조,판매,오파,부동산임대업",12월,2023Q4,2023,4,53136902.0,-2926403.0,-2719649.0,13095362.0,280589482.0,138996290.0,119340064.0,86898504.0,161249418.0,93642378.0,47312347.0,26299645.0,178290.0,95831.0,0.5375,500.0,28300000.0,15211250.0,6300.0,17248392.0,CFS
KOSPI,003160,디아이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","반도체검사장비,전자부품,레저용품,석제품 제조,판매,오파,부동산임대업",12월,2024Q1,2024,1,34732576.0,-1836830.0,-1300514.0,9639700.0,287100466.0,141883980.0,129654165.0,107458203.0,157446301.0,89637533.0,42511328.0,-6336634.0,360825.0,193943.0,0.5375,500.0,28300000.0,15211250.0,12750.0,17248392.0,CFS
KOSPI,003160,디아이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","반도체검사장비,전자부품,레저용품,석제품 제조,판매,오파,부동산임대업",12월,2024Q2,2024,2,46133634.0,943509.0,-911652.0,9356318.0,300390867.0,158113650.0,139523094.0,92570622.0,160867773.0,88590322.0,46345330.0,-6503519.0,752780.0,411018.0,0.546,500.0,28300000.0,15451800.0,26600.0,17248392.0,CFS
KOSPI,003160,디아이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","반도체검사장비,전자부품,레저용품,석제품 제조,판매,오파,부동산임대업",12월,2024Q3,2024,3,54268043.0,-1758906.0,-2534103.0,12718751.0,298319323.0,155393471.0,137994866.0,96590450.0,160324457.0,85903940.0,35541289.0,-3013967.0,419406.0,228996.0,0.546,500.0,28300000.0,15451800.0,14820.0,17248392.0,CFS
KOSPI,003160,디아이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","반도체검사장비,전자부품,레저용품,석제품 제조,판매,오파,부동산임대업",12월,2024Q4,2024,4,78823150.0,5733624.0,7517297.0,10005953.0,319610580.0,173173365.0,151870737.0,105622992.0,167739843.0,91977805.0,42986101.0,928016.0,409784.0,223742.0,0.546,500.0,28300000.0,15451800.0,14480.0,17248392.0,CFS
KOSPI,003160,디아이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","반도체검사장비,전자부품,레저용품,석제품 제조,판매,오파,부동산임대업",12월,2025Q1,2025,1,110044899.0,9925192.0,7315443.0,9831539.0,355132953.0,211796299.0,182759122.0,138864249.0,172373831.0,94671155.0,41899068.0,2660597.0,360259.0,196701.0,0.546,500.0,28300000.0,15451800.0,12730.0,17248392.0,CFS
KOSPI,003160,디아이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","반도체검사장비,전자부품,레저용품,석제품 제조,판매,오파,부동산임대업",12월,2025Q2,2025,2,119269899.0,12249705.0,8841828.0,11122787.0,382365617.0,210635250.0,201468791.0,158930382.0,180896826.0,100162660.0,56019062.0,19900689.0,439499.0,239966.0,0.546,500.0,28300000.0,15451800.0,15530.0,17248392.0,CFS
KOSPI,003160,디아이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","반도체검사장비,전자부품,레저용품,석제품 제조,판매,오파,부동산임대업",12월,2025Q3,2025,3,109063766.0,10005316.0,7664889.0,9718356.0,382204259.0,208967897.0,193631388.0,145916482.0,188572871.0,105609969.0,71394467.0,14463846.0,444027.0,242439.0,0.546,500.0,28300000.0,15451800.0,15690.0,17248392.0,CFS
KOSPI,003160,디아이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","반도체검사장비,전자부품,레저용품,석제품 제조,판매,오파,부동산임대업",12월,2025Q4,2025,4,93914997.0,4328085.0,-10304872.0,24754428.0,373777691.0,211816503.0,187880358.0,125869508.0,185897333.0,95435084.0,107118966.0,12008825.0,604205.0,329896.0,0.546,500.0,28300000.0,15451800.0,21350.0,17248392.0,CFS
KOSPI,003160,디아이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","반도체검사장비,전자부품,레저용품,석제품 제조,판매,오파,부동산임대업",12월,2026Q1,2026,1,105701282.0,18872013.0,14964023.0,11867444.0,430360562.0,270334071.0,219583157.0,182094334.0,210777405.0,99936099.0,81913549.0,-405527.0,798060.0,435741.0,0.546,500.0,28300000.0,15451800.0,28200.0,17248392.0,CFS
KOSDAQ,005290,동진쎄미켐,기초 화학물질 제조업,"반도체,LCD용재료(감광제,봉지제),발포제",12월,2020Q1,2020,1,224585897.0,31420945.0,24696502.0,20254580.0,906984468.0,482802797.0,517511275.0,471126165.0,389473193.0,213588759.0,159290821.0,35075442.0,686383.0,420821.0,0.6131,500.0,51414494.0,31522226.0,13350.0,25707247.0,CFS
KOSDAQ,005290,동진쎄미켐,기초 화학물질 제조업,"반도체,LCD용재료(감광제,봉지제),발포제",12월,2020Q2,2020,2,223691614.0,29167478.0,28927402.0,24171666.0,952559586.0,520469638.0,537030780.0,479417558.0,415528806.0,242475479.0,192132668.0,14746762.0,1447318.0,877219.0,0.6061,500.0,51414494.0,31162325.0,28150.0,25707247.0,CFS
KOSDAQ,005290,동진쎄미켐,기초 화학물질 제조업,"반도체,LCD용재료(감광제,봉지제),발포제",12월,2020Q3,2020,3,244233121.0,34827931.0,24622783.0,25558146.0,945572540.0,513999065.0,504660285.0,413304467.0,440912255.0,267099044.0,178205789.0,32051010.0,1524440.0,923963.0,0.6061,500.0,51414494.0,31162325.0,29650.0,25707247.0,CFS
KOSDAQ,005290,동진쎄미켐,기초 화학물질 제조업,"반도체,LCD용재료(감광제,봉지제),발포제",12월,2020Q4,2020,4,245290168.0,30841304.0,7011217.0,22888886.0,960791826.0,527429646.0,522783552.0,398740980.0,438008275.0,272429223.0,201286540.0,48367996.0,1876629.0,1137425.0,0.6061,500.0,51414494.0,31162325.0,36500.0,25707247.0,CFS
KOSDAQ,005290,동진쎄미켐,기초 화학물질 제조업,"반도체,LCD용재료(감광제,봉지제),발포제",12월,2021Q1,2021,1,251647748.0,28604021.0,24380251.0,24210615.0,1027691291.0,588599912.0,557656166.0,445547019.0,470035125.0,291708176.0,218278745.0,9172959.0,1676113.0,1015892.0,0.6061,500.0,51414494.0,31162325.0,32600.0,25707247.0,CFS
KOSDAQ,005290,동진쎄미켐,기초 화학물질 제조업,"반도체,LCD용재료(감광제,봉지제),발포제",12월,2021Q2,2021,2,274663980.0,28392513.0,19102100.0,24950321.0,1044572549.0,592315077.0,552589183.0,425792177.0,491983366.0,310826092.0,218565150.0,28331274.0,1473025.0,894126.0,0.607,500.0,51414494.0,31208598.0,28650.0,25707247.0,CFS
KOSDAQ,005290,동진쎄미켐,기초 화학물질 제조업,"반도체,LCD용재료(감광제,봉지제),발포제",12월,2021Q3,2021,3,298605231.0,34787442.0,30853841.0,28731613.0,1129634332.0,639984682.0,597503752.0,449421877.0,532130580.0,341837370.0,240392193.0,27871616.0,1616986.0,981511.0,0.607,500.0,51414494.0,31208598.0,31450.0,25707247.0,CFS
