종목명,티커,기준일,주가(원),발행주식수(주),시가총액(억원),유동비율(%),유동주식수(주),유동시가총액(억원)
삼성전자,5930,2026-07-16,255000,5846278608,14908010,78.61,4595774108,11719224
SK하이닉스,660,2026-05-22,1941000,712702365,13833553,74.9,533814071,10361331
한미반도체,42700,2026-07-20,222000,95312200,211593,43.73,41680025,92530
테크윙,89030,2026-07-20,48550,37053645,17990,72.29,26786080,13005
하나마이크론,67310,2026-07-07,37250,66480426,24764,74.15,49295236,18363
ISC,95340,2026-06-19,186000,21197058,39427,51.12,10835936,20155
와이씨켐,112290,2026-07-16,9990,20221090,2020,59.91,12114455,1210
엠케이전자,33160,2026-07-20,15300,24194466,3702,64.34,15566719,2382
심텍,222800,2026-06-19,124300,37463931,46568,67.29,25209479,31336
대덕전자,353200,2026-06-19,156300,49416925,77239,69.19,34191570,53442
이엔에프테크놀로지,102710,2026-07-20,38750,14287836,5537,64.52,9218512,3572
솔브레인,357780,2026-06-11,355000,7778566,27614,53.73,4179424,14837
한솔케미칼,14680,2026-07-10,248500,10794036,27367,78.18,8438777,21396
HPSP,403870,2026-06-19,56600,82300000,46582,78.39,64514970,36516
오픈엣지테크놀로지,394280,2026-07-20,9690,26346530,2553,84.22,22189048,2150
이오테크닉스,39030,2026-06-19,498500,12319550,61413,68.88,8485706,42301
오로스테크놀로지,322310,2026-07-07,18800,9366542,1761,48.71,4562443,858
인텍플러스,64290,2026-06-24,40950,12863962,5268,81.48,10481556,4292
티에스이,131290,2026-06-19,244000,11061429,26990,38.71,4281879,10448
네오셈,253590,2026-07-16,9760,43869164,4282,44.51,19526165,1906
유니테스트,86390,2026-07-20,9480,21134126,2004,75.53,15962605,1514
디아이,3160,2026-07-20,19670,28300000,5567,67.6,19130800,3763
넥스틴,348210,2026-07-07,40850,10477005,4280,70.85,7422958,3032
SFA반도체,36540,2026-07-07,5100,164460303,8387,44.7,73513755,3749
LB세미콘,61970,2026-07-20,3945,58083006,2291,72.27,41976588,1656
해성디에스,195870,2026-07-20,52800,17000000,8976,61.77,10500900,5544
동진쎄미켐,5290,2026-06-19,60300,50970126,30735,65.16,33212134,20027
하나머티리얼즈,166090,2026-06-09,63200,19777674,12499,53.21,10523700,6651
원익머트리얼즈,104830,2026-06-09,41100,12608000,5182,54.28,6843622,2813
티이엠씨,425040,2026-07-20,9010,21922898,1975,65.46,14350729,1293
케이씨텍,281820,2026-07-07,92900,19798661,18393,43.29,8570840,7962
주성엔지니어링,36930,2026-06-05,210000,46481121,97610,66.96,31123759,65360
이수페타시스,7660,2026-06-19,115100,73409219,84494,73.45,53919071,62061
