ticker,name,group,exposure,mem_ratio,float_mcap,eligible,탈락사유,selection_date,ff_market_cap_asof,ff_market_cap_source,free_float_asof,code_commit
000660,SK하이닉스,anchor,0.15,0.95,58813520182532.1,True,,2023-05-31,2023-05-31,pykrx 시총 x 원장 free_float,2023-03-21,f5d0a3e5d044725392103af8372062081973d3b9
003160,디아이,satellite,0.0,0.85,107543537500.0,False,공정/위원회 미확인,2023-05-31,2023-05-31,pykrx 시총 x 원장 free_float,2023-03-16,f5d0a3e5d044725392103af8372062081973d3b9
005290,동진쎄미켐,core,0.0,0.55,1210257599599.62,True,,2023-05-31,2023-05-31,pykrx 시총 x 원장 free_float,2023-03-16,f5d0a3e5d044725392103af8372062081973d3b9
005930,삼성전자,anchor,0.03,0.31,337839784947882.0,True,,2023-05-31,2023-05-31,pykrx 시총 x 원장 free_float,2023-03-07,f5d0a3e5d044725392103af8372062081973d3b9
007660,이수페타시스,core,0.0,0.1,679074081206.983,True,,2023-05-31,2023-05-31,pykrx 시총 x 원장 free_float,2023-03-23,f5d0a3e5d044725392103af8372062081973d3b9
014680,한솔케미칼,core,0.0,0.5,2124207041603.75,True,,2023-05-31,2023-05-31,pykrx 시총 x 원장 free_float,2023-03-13,f5d0a3e5d044725392103af8372062081973d3b9
033160,엠케이전자,core,0.0,0.5,184092272108.087,True,,2023-05-31,2023-05-31,pykrx 시총 x 원장 free_float,2023-03-23,f5d0a3e5d044725392103af8372062081973d3b9
036540,SFA반도체,satellite,0.0,0.75,418293268459.29,False,공정/위원회 미확인,2023-05-31,2023-05-31,pykrx 시총 x 원장 free_float,2023-03-20,f5d0a3e5d044725392103af8372062081973d3b9
036930,주성엔지니어링,satellite,0.0,0.7,567888110823.528,False,공정/위원회 미확인,2023-05-31,2023-05-31,pykrx 시총 x 원장 free_float,2023-03-21,f5d0a3e5d044725392103af8372062081973d3b9
039030,이오테크닉스,core,0.0,0.5,765441360487.5,True,,2023-05-31,2023-05-31,pykrx 시총 x 원장 free_float,2023-03-21,f5d0a3e5d044725392103af8372062081973d3b9
042700,한미반도체,satellite,0.25,0.8,1122903754389.45,True,,2023-05-31,2023-05-31,pykrx 시총 x 원장 free_float,2023-03-16,f5d0a3e5d044725392103af8372062081973d3b9
061970,LB세미콘,core,0.0,0.25,230801632240.416,True,,2023-05-31,2023-05-31,pykrx 시총 x 원장 free_float,2023-03-17,f5d0a3e5d044725392103af8372062081973d3b9
064290,인텍플러스,core,0.0,0.4,205605562251.44,True,,2023-05-31,2023-05-31,pykrx 시총 x 원장 free_float,2023-03-20,f5d0a3e5d044725392103af8372062081973d3b9
067310,하나마이크론,core,0.0,0.6,585569354098.77,True,,2023-05-31,2023-05-31,pykrx 시총 x 원장 free_float,2023-03-27,f5d0a3e5d044725392103af8372062081973d3b9
086390,유니테스트,core,0.0,0.55,234249469072.944,True,,2023-05-31,2023-05-31,pykrx 시총 x 원장 free_float,2023-03-17,f5d0a3e5d044725392103af8372062081973d3b9
089030,테크윙,satellite,0.0,0.8,222092446467.15,False,공정/위원회 미확인,2023-05-31,2023-05-31,pykrx 시총 x 원장 free_float,2023-03-20,f5d0a3e5d044725392103af8372062081973d3b9
095340,ISC,core,0.0,0.45,515208775992.6,True,,2023-05-31,2023-05-31,pykrx 시총 x 원장 free_float,2023-03-23,f5d0a3e5d044725392103af8372062081973d3b9
102710,이엔에프테크놀로지,core,0.0,0.65,207361935678.47998,True,,2023-05-31,2023-05-31,pykrx 시총 x 원장 free_float,2023-03-21,f5d0a3e5d044725392103af8372062081973d3b9
104830,원익머트리얼즈,core,0.0,0.6,187892043840.00003,True,,2023-05-31,2023-05-31,pykrx 시총 x 원장 free_float,2023-03-21,f5d0a3e5d044725392103af8372062081973d3b9
112290,와이씨켐,satellite,0.0,0.75,71657001437.385,False,공정/위원회 미확인,2023-05-31,2023-05-31,pykrx 시총 x 원장 free_float,2023-03-16,f5d0a3e5d044725392103af8372062081973d3b9
131290,티에스이,core,0.0,0.6,225186082760.475,True,,2023-05-31,2023-05-31,pykrx 시총 x 원장 free_float,2023-03-16,f5d0a3e5d044725392103af8372062081973d3b9
166090,하나머티리얼즈,core,0.0,0.5,488535972606.1,True,,2023-05-31,2023-05-31,pykrx 시총 x 원장 free_float,2023-03-10,f5d0a3e5d044725392103af8372062081973d3b9
195870,해성디에스,core,0.0,0.35,549978390000.0,True,,2023-05-31,2023-05-31,pykrx 시총 x 원장 free_float,2023-03-16,f5d0a3e5d044725392103af8372062081973d3b9
222800,심텍,satellite,0.0,0.75,663959793156.25,False,공정/위원회 미확인,2023-05-31,2023-05-31,pykrx 시총 x 원장 free_float,2023-03-22,f5d0a3e5d044725392103af8372062081973d3b9
253590,네오셈,satellite,0.0,0.9,36156577550.24,False,ADV60<10억;공정/위원회 미확인,2023-05-31,2023-05-31,pykrx 시총 x 원장 free_float,2023-03-21,f5d0a3e5d044725392103af8372062081973d3b9
281820,케이씨텍,core,0.0,0.6,187924547220.30002,False,ADV60<10억,2023-05-31,2023-05-31,pykrx 시총 x 원장 free_float,2023-03-21,f5d0a3e5d044725392103af8372062081973d3b9
322310,오로스테크놀로지,satellite,0.0,0.8,74063429998.286,False,공정/위원회 미확인,2023-05-31,2023-05-31,pykrx 시총 x 원장 free_float,2023-03-17,f5d0a3e5d044725392103af8372062081973d3b9
348210,넥스틴,core,0.0,0.65,532955867535.0,True,,2023-05-31,2023-05-31,pykrx 시총 x 원장 free_float,2023-03-17,f5d0a3e5d044725392103af8372062081973d3b9
353200,대덕전자,core,0.0,0.45,843111052471.5,True,,2023-05-31,2023-05-31,pykrx 시총 x 원장 free_float,2023-03-14,f5d0a3e5d044725392103af8372062081973d3b9
357780,솔브레인,satellite,0.0,0.7,963177823523.6,False,공정/위원회 미확인,2023-05-31,2023-05-31,pykrx 시총 x 원장 free_float,2023-03-21,f5d0a3e5d044725392103af8372062081973d3b9
394280,오픈엣지테크놀로지,core,0.05,0.2,338338853502.89996,True,,2023-05-31,2023-05-31,pykrx 시총 x 원장 free_float,2023-03-23,f5d0a3e5d044725392103af8372062081973d3b9
403870,HPSP,core,0.0,0.4,1261364250510.0,True,,2023-05-31,2023-05-31,pykrx 시총 x 원장 free_float,2023-03-22,f5d0a3e5d044725392103af8372062081973d3b9
425040,티이엠씨,satellite,0.0,0.8,310145239407.12,False,공정/위원회 미확인,2023-05-31,2023-05-31,pykrx 시총 x 원장 free_float,2023-03-20,f5d0a3e5d044725392103af8372062081973d3b9
