ticker,name,group,exposure,mem_ratio,float_mcap,eligible,탈락사유,selection_date,ff_market_cap_asof,ff_market_cap_source,market_facts_sha256,market_facts_source_sha256,market_facts_mapping_sha256,market_facts_price_reference_sha256,free_float_asof,code_commit
000660,SK하이닉스,anchor,0.35,0.95,287760406823010.0,True,,2025-11-28,2025-11-28,KRX all-stock screen download x ledger free_float,c99cffce9c0ed3565e9e19e48ce82af85caa2853be0ac001d5c8c924bd87cb5f,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d,2547b98f7194bf588fccc4c5f311b7eb5b607e327477d0ca34e8cab4c90669f1,8100f0330e0a5084ba31e4e7225a400de757cb1ee135e208595cd4057a83da07,2025-03-19,beea20514a19658de489a7da2eae3ecb0c618332
003160,디아이,satellite,0.15,0.85,330668520000.0,True,,2025-11-28,2025-11-28,KRX all-stock screen download x ledger free_float,c99cffce9c0ed3565e9e19e48ce82af85caa2853be0ac001d5c8c924bd87cb5f,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d,2547b98f7194bf588fccc4c5f311b7eb5b607e327477d0ca34e8cab4c90669f1,8100f0330e0a5084ba31e4e7225a400de757cb1ee135e208595cd4057a83da07,2025-03-13,beea20514a19658de489a7da2eae3ecb0c618332
005290,동진쎄미켐,core,0.0,0.55,1140829523481.78,True,,2025-11-28,2025-11-28,KRX all-stock screen download x ledger free_float,c99cffce9c0ed3565e9e19e48ce82af85caa2853be0ac001d5c8c924bd87cb5f,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d,2547b98f7194bf588fccc4c5f311b7eb5b607e327477d0ca34e8cab4c90669f1,8100f0330e0a5084ba31e4e7225a400de757cb1ee135e208595cd4057a83da07,2025-03-19,beea20514a19658de489a7da2eae3ecb0c618332
005930,삼성전자,anchor,0.08,0.31,472547824345182.3,True,,2025-11-28,2025-11-28,KRX all-stock screen download x ledger free_float,c99cffce9c0ed3565e9e19e48ce82af85caa2853be0ac001d5c8c924bd87cb5f,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d,2547b98f7194bf588fccc4c5f311b7eb5b607e327477d0ca34e8cab4c90669f1,8100f0330e0a5084ba31e4e7225a400de757cb1ee135e208595cd4057a83da07,2025-03-11,beea20514a19658de489a7da2eae3ecb0c618332
007660,이수페타시스,core,0.02,0.1,7760117904177.6,True,,2025-11-28,2025-11-28,KRX all-stock screen download x ledger free_float,c99cffce9c0ed3565e9e19e48ce82af85caa2853be0ac001d5c8c924bd87cb5f,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d,2547b98f7194bf588fccc4c5f311b7eb5b607e327477d0ca34e8cab4c90669f1,8100f0330e0a5084ba31e4e7225a400de757cb1ee135e208595cd4057a83da07,2025-03-20,beea20514a19658de489a7da2eae3ecb0c618332
014680,한솔케미칼,core,0.0,0.5,2227014426455.0,True,,2025-11-28,2025-11-28,KRX all-stock screen download x ledger free_float,c99cffce9c0ed3565e9e19e48ce82af85caa2853be0ac001d5c8c924bd87cb5f,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d,2547b98f7194bf588fccc4c5f311b7eb5b607e327477d0ca34e8cab4c90669f1,8100f0330e0a5084ba31e4e7225a400de757cb1ee135e208595cd4057a83da07,2025-03-10,beea20514a19658de489a7da2eae3ecb0c618332
033160,엠케이전자,core,0.0,0.5,113629563187.2,True,,2025-11-28,2025-11-28,KRX all-stock screen download x ledger free_float,c99cffce9c0ed3565e9e19e48ce82af85caa2853be0ac001d5c8c924bd87cb5f,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d,2547b98f7194bf588fccc4c5f311b7eb5b607e327477d0ca34e8cab4c90669f1,8100f0330e0a5084ba31e4e7225a400de757cb1ee135e208595cd4057a83da07,2025-03-21,beea20514a19658de489a7da2eae3ecb0c618332
036540,SFA반도체,satellite,0.0,0.75,306988591142.6775,False,규칙 C 요건②③ 미충족,2025-11-28,2025-11-28,KRX all-stock screen download x ledger free_float,c99cffce9c0ed3565e9e19e48ce82af85caa2853be0ac001d5c8c924bd87cb5f,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d,2547b98f7194bf588fccc4c5f311b7eb5b607e327477d0ca34e8cab4c90669f1,8100f0330e0a5084ba31e4e7225a400de757cb1ee135e208595cd4057a83da07,2025-03-21,beea20514a19658de489a7da2eae3ecb0c618332
036930,주성엔지니어링,satellite,0.03,0.7,866814742454.1749,False,규칙 C 요건②③ 미충족,2025-11-28,2025-11-28,KRX all-stock screen download x ledger free_float,c99cffce9c0ed3565e9e19e48ce82af85caa2853be0ac001d5c8c924bd87cb5f,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d,2547b98f7194bf588fccc4c5f311b7eb5b607e327477d0ca34e8cab4c90669f1,8100f0330e0a5084ba31e4e7225a400de757cb1ee135e208595cd4057a83da07,2025-03-17,beea20514a19658de489a7da2eae3ecb0c618332
039030,이오테크닉스,core,0.0,0.5,2126685725895.0,True,,2025-11-28,2025-11-28,KRX all-stock screen download x ledger free_float,c99cffce9c0ed3565e9e19e48ce82af85caa2853be0ac001d5c8c924bd87cb5f,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d,2547b98f7194bf588fccc4c5f311b7eb5b607e327477d0ca34e8cab4c90669f1,8100f0330e0a5084ba31e4e7225a400de757cb1ee135e208595cd4057a83da07,2025-03-20,beea20514a19658de489a7da2eae3ecb0c618332
042700,한미반도체,core,0.55,0.8,5113953216072.0,True,,2025-11-28,2025-11-28,KRX all-stock screen download x ledger free_float,c99cffce9c0ed3565e9e19e48ce82af85caa2853be0ac001d5c8c924bd87cb5f,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d,2547b98f7194bf588fccc4c5f311b7eb5b607e327477d0ca34e8cab4c90669f1,8100f0330e0a5084ba31e4e7225a400de757cb1ee135e208595cd4057a83da07,2025-03-13,beea20514a19658de489a7da2eae3ecb0c618332
061970,LB세미콘,core,0.01,0.2,166382807455.91702,True,,2025-11-28,2025-11-28,KRX all-stock screen download x ledger free_float,c99cffce9c0ed3565e9e19e48ce82af85caa2853be0ac001d5c8c924bd87cb5f,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d,2547b98f7194bf588fccc4c5f311b7eb5b607e327477d0ca34e8cab4c90669f1,8100f0330e0a5084ba31e4e7225a400de757cb1ee135e208595cd4057a83da07,2025-03-20,beea20514a19658de489a7da2eae3ecb0c618332
064290,인텍플러스,core,0.0,0.4,140510587045.296,True,,2025-11-28,2025-11-28,KRX all-stock screen download x ledger free_float,c99cffce9c0ed3565e9e19e48ce82af85caa2853be0ac001d5c8c924bd87cb5f,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d,2547b98f7194bf588fccc4c5f311b7eb5b607e327477d0ca34e8cab4c90669f1,8100f0330e0a5084ba31e4e7225a400de757cb1ee135e208595cd4057a83da07,2025-03-18,beea20514a19658de489a7da2eae3ecb0c618332
067310,하나마이크론,core,0.0,0.6,1254532450706.78,True,,2025-11-28,2025-11-28,KRX all-stock screen download x ledger free_float,c99cffce9c0ed3565e9e19e48ce82af85caa2853be0ac001d5c8c924bd87cb5f,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d,2547b98f7194bf588fccc4c5f311b7eb5b607e327477d0ca34e8cab4c90669f1,8100f0330e0a5084ba31e4e7225a400de757cb1ee135e208595cd4057a83da07,2025-03-20,beea20514a19658de489a7da2eae3ecb0c618332
086390,유니테스트,core,0.0,0.55,239508379316.154,True,,2025-11-28,2025-11-28,KRX all-stock screen download x ledger free_float,c99cffce9c0ed3565e9e19e48ce82af85caa2853be0ac001d5c8c924bd87cb5f,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d,2547b98f7194bf588fccc4c5f311b7eb5b607e327477d0ca34e8cab4c90669f1,8100f0330e0a5084ba31e4e7225a400de757cb1ee135e208595cd4057a83da07,2025-03-20,beea20514a19658de489a7da2eae3ecb0c618332
089030,테크윙,satellite,0.2,0.8,1432831103869.5,True,,2025-11-28,2025-11-28,KRX all-stock screen download x ledger free_float,c99cffce9c0ed3565e9e19e48ce82af85caa2853be0ac001d5c8c924bd87cb5f,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d,2547b98f7194bf588fccc4c5f311b7eb5b607e327477d0ca34e8cab4c90669f1,8100f0330e0a5084ba31e4e7225a400de757cb1ee135e208595cd4057a83da07,2025-03-17,beea20514a19658de489a7da2eae3ecb0c618332
