ticker,name,disclosed_at,fiscal_year,sector,hbm_massproduction,hbm_exposure,mem_ratio,process_confirmed,committee_ok,free_float,source,admin_issue,reviewer,judgment_status,audit_opinion
000660,SK하이닉스,2026-03-31,2025,메모리제조,True,,0.95,True,True,0.7632,HBM_value_33 CSV(유동비율) + DART FY2025 사업보고서 판정 TODO,False,,DRAFT,적정
003160,디아이,2026-03-31,2025,반도체 장비,False,,0.85,False,True,0.546,HBM_value_33 CSV(유동비율) + DART FY2025 사업보고서 판정 TODO,False,,DRAFT,적정
005290,동진쎄미켐,2026-03-31,2025,반도체 소재,False,,,False,False,0.6133,HBM_value_33 CSV(유동비율) + DART FY2025 사업보고서 판정 TODO,False,,DRAFT,적정
005930,삼성전자,2026-03-31,2025,메모리제조,True,,0.31,True,True,0.7861,HBM_value_33 CSV(유동비율) + DART FY2025 사업보고서 판정 TODO,False,,DRAFT,적정
007660,이수페타시스,2026-03-31,2025,기판/PCB,False,,,False,False,0.7387,HBM_value_33 CSV(유동비율) + DART FY2025 사업보고서 판정 TODO,False,,DRAFT,적정
014680,한솔케미칼,2026-03-31,2025,반도체 소재,False,,,False,False,0.8278,HBM_value_33 CSV(유동비율) + DART FY2025 사업보고서 판정 TODO,False,,DRAFT,적정
033160,엠케이전자,2026-03-31,2025,반도체 소재,False,,,False,False,0.6054,HBM_value_33 CSV(유동비율) + DART FY2025 사업보고서 판정 TODO,False,,DRAFT,적정
036540,SFA반도체,2026-03-31,2025,후공정/패키징,False,,0.81,False,False,0.4471,HBM_value_33 CSV(유동비율) + DART FY2025 사업보고서 판정 TODO,False,,DRAFT,적정
036930,주성엔지니어링,2026-03-31,2025,반도체 장비,False,,,False,False,0.6659,HBM_value_33 CSV(유동비율) + DART FY2025 사업보고서 판정 TODO,False,,DRAFT,적정
039030,이오테크닉스,2026-03-31,2025,반도체 장비,False,,,False,False,0.6894,HBM_value_33 CSV(유동비율) + DART FY2025 사업보고서 판정 TODO,False,,DRAFT,적정
042700,한미반도체,2026-03-31,2025,반도체 장비,False,0.7,0.75,True,True,0.4382,HBM_value_33 CSV(유동비율) + DART FY2025 사업보고서 판정 TODO,False,,DRAFT,적정
