ticker,name,fiscal_year,hbm_massproduction,hbm_exposure,mem_ratio,process_confirmed,committee_ok,audit_opinion,admin_issue,disclosed_at,source,reviewer,judgment_status
000660,SK하이닉스,2019,True,0.05,0.95,True,True,적정,False,2020-03-30,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200330004441,노민수,FINAL
000660,SK하이닉스,2020,True,0.08,0.95,True,True,적정,False,2021-03-22,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210322000782,노민수,FINAL
000660,SK하이닉스,2021,True,0.1,0.95,True,True,적정,False,2022-03-22,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220322000590,노민수,FINAL
000660,SK하이닉스,2022,True,0.15,0.95,True,True,적정,False,2023-03-21,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230321001209,노민수,FINAL
000660,SK하이닉스,2023,True,0.25,0.95,True,True,적정,False,2024-03-19,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240319000684,노민수,FINAL
000660,SK하이닉스,2024,True,0.35,0.95,True,True,적정,False,2025-03-19,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250319000665,노민수,FINAL
000660,SK하이닉스,2025,True,0.4,0.95,True,True,적정,False,2026-03-17,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260317000635,노민수,FINAL
003160,디아이,2019,False,0.0,0.85,False,False,적정,False,2020-03-30,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200330003463,노민수,FINAL
003160,디아이,2020,False,0.0,0.85,False,False,적정,False,2021-03-18,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210318000533,노민수,FINAL
003160,디아이,2021,False,0.0,0.85,False,False,적정,False,2022-03-17,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220317001034,노민수,FINAL
003160,디아이,2022,False,0.0,0.85,False,False,적정,False,2023-03-16,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230316001051,노민수,FINAL
003160,디아이,2023,False,0.0,0.85,False,False,적정,False,2024-03-14,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240314001500,노민수,FINAL
003160,디아이,2024,False,0.15,0.85,True,True,적정,False,2025-03-13,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250313001050,노민수,FINAL
003160,디아이,2025,False,0.35,0.85,True,True,적정,False,2026-03-12,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260312001121,노민수,FINAL
005290,동진쎄미켐,2019,False,0.0,0.55,False,False,적정,False,2020-03-30,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200330003694,노민수,FINAL
005290,동진쎄미켐,2020,False,0.0,0.55,False,False,적정,False,2021-03-18,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210318000597,노민수,FINAL
005290,동진쎄미켐,2021,False,0.0,0.55,False,False,적정,False,2022-03-17,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220317000647,노민수,FINAL
005290,동진쎄미켐,2022,False,0.0,0.55,False,False,적정,False,2023-03-16,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230316001000,노민수,FINAL
005290,동진쎄미켐,2023,False,0.0,0.55,False,False,적정,False,2024-03-14,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240314001382,노민수,FINAL
005290,동진쎄미켐,2024,False,0.0,0.55,False,False,적정,False,2025-03-19,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250319000732,노민수,FINAL
005290,동진쎄미켐,2025,False,0.0,0.55,False,False,적정,False,2026-03-19,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260319000264,노민수,FINAL
005930,삼성전자,2019,True,0.01,0.31,True,False,적정,False,2020-03-30,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200330003851,노민수,FINAL
005930,삼성전자,2020,True,0.01,0.31,True,False,적정,False,2021-03-09,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210309000744,노민수,FINAL
005930,삼성전자,2021,True,0.02,0.31,True,False,적정,False,2022-03-08,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220308000798,노민수,FINAL
005930,삼성전자,2022,True,0.03,0.31,True,False,적정,False,2023-03-07,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230307000542,노민수,FINAL
005930,삼성전자,2023,True,0.05,0.31,True,False,적정,False,2024-03-12,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240312000736,노민수,FINAL
005930,삼성전자,2024,True,0.08,0.31,True,False,적정,False,2025-03-11,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250311001085,노민수,FINAL
