as_of,ticker,name,sector,hbm_massproduction,hbm_exposure,mem_ratio,process_confirmed,committee_ok,audit_opinion,admin_issue,pre_screen_pass,expected_group,expected_weight,reported_rule,reported_fail_codes,judgment_status,reviewer,value_source,decision_source
2026-07-23,042700,한미반도체,장비,False,0.60,0.80,,,적정,False,True,핵심,0.1800,A,,FINAL,노민수,evidence/source_docs/hbm_judgment_values_33_20260723.pdf,evidence/source_docs/hbm_judgment_result_20260723.pdf
2026-07-23,348210,넥스틴,장비,False,0.50,0.65,,,적정,False,True,핵심,0.1058,A,,FINAL,노민수,evidence/source_docs/hbm_judgment_values_33_20260723.pdf,evidence/source_docs/hbm_judgment_result_20260723.pdf
2026-07-23,000660,SK하이닉스,메모리제조,True,0.40,0.95,,,적정,False,True,앵커,0.1843,0,,FINAL,노민수,evidence/source_docs/hbm_judgment_values_33_20260723.pdf,evidence/source_docs/hbm_judgment_result_20260723.pdf
2026-07-23,003160,디아이,장비,False,0.35,0.85,,,적정,False,True,핵심,0.1281,A,,FINAL,노민수,evidence/source_docs/hbm_judgment_values_33_20260723.pdf,evidence/source_docs/hbm_judgment_result_20260723.pdf
2026-07-23,089030,테크윙,장비,False,0.30,0.80,,,적정,False,True,핵심,0.1800,A,,FINAL,노민수,evidence/source_docs/hbm_judgment_values_33_20260723.pdf,evidence/source_docs/hbm_judgment_result_20260723.pdf
2026-07-23,095340,ISC,부품,False,0.15,0.15,,,적정,False,True,미편입,,,A;C1,FINAL,노민수,evidence/source_docs/hbm_judgment_values_33_20260723.pdf,evidence/source_docs/hbm_judgment_result_20260723.pdf
2026-07-23,112290,와이씨켐,소재,False,0.10,0.75,True,True,적정,False,True,위성,0.0061,C,,FINAL,노민수,evidence/source_docs/hbm_judgment_values_33_20260723.pdf,evidence/source_docs/hbm_judgment_result_20260723.pdf
2026-07-23,005930,삼성전자,메모리제조,True,0.10,0.31,,,적정,False,True,앵커,0.2157,0,,FINAL,노민수,data/verdict_ledger.csv#FY2025,evidence/source_docs/hbm_judgment_result_20260723.pdf
2026-07-23,394280,오픈엣지테크놀로지,설계IP,False,0.10,0.20,,,적정,False,True,미편입,,,A;C1,FINAL,노민수,evidence/source_docs/hbm_judgment_values_33_20260723.pdf,evidence/source_docs/hbm_judgment_result_20260723.pdf
2026-07-23,253590,네오셈,장비,False,0.05,0.90,False,,적정,False,True,미편입,,,C2,FINAL,노민수,evidence/source_docs/hbm_judgment_values_33_20260723.pdf,evidence/source_docs/hbm_judgment_result_20260723.pdf
2026-07-23,357780,솔브레인,소재,False,0.05,0.70,False,,적정,False,True,미편입,,,C2,FINAL,노민수,evidence/source_docs/hbm_judgment_values_33_20260723.pdf,evidence/source_docs/hbm_judgment_result_20260723.pdf
2026-07-23,131290,티에스이,부품,False,0.05,0.60,False,,적정,False,True,미편입,,,A;C2,FINAL,노민수,evidence/source_docs/hbm_judgment_values_33_20260723.pdf,evidence/source_docs/hbm_judgment_result_20260723.pdf
2026-07-23,322310,오로스테크놀로지,장비,False,0.03,0.80,False,,적정,False,True,미편입,,,C2,FINAL,노민수,evidence/source_docs/hbm_judgment_values_33_20260723.pdf,evidence/source_docs/hbm_judgment_result_20260723.pdf
