ticker,name,fiscal_year
000660,SK하이닉스,2019
000660,SK하이닉스,2020
000660,SK하이닉스,2021
000660,SK하이닉스,2022
000660,SK하이닉스,2023
000660,SK하이닉스,2024
000660,SK하이닉스,2025
003160,디아이,2019
003160,디아이,2020
003160,디아이,2021
003160,디아이,2022
003160,디아이,2023
003160,디아이,2024
003160,디아이,2025
005290,동진쎄미켐,2019
005290,동진쎄미켐,2020
005290,동진쎄미켐,2021
005290,동진쎄미켐,2022
005290,동진쎄미켐,2023
005290,동진쎄미켐,2024
005290,동진쎄미켐,2025
005930,삼성전자,2019
005930,삼성전자,2020
005930,삼성전자,2021
005930,삼성전자,2022
005930,삼성전자,2023
005930,삼성전자,2024
005930,삼성전자,2025
007660,이수페타시스,2019
007660,이수페타시스,2020
007660,이수페타시스,2021
007660,이수페타시스,2022
007660,이수페타시스,2023
007660,이수페타시스,2024
007660,이수페타시스,2025
014680,한솔케미칼,2019
014680,한솔케미칼,2020
014680,한솔케미칼,2021
014680,한솔케미칼,2022
014680,한솔케미칼,2023
014680,한솔케미칼,2024
014680,한솔케미칼,2025
033160,엠케이전자,2019
033160,엠케이전자,2020
033160,엠케이전자,2021
033160,엠케이전자,2022
033160,엠케이전자,2023
033160,엠케이전자,2024
033160,엠케이전자,2025
036540,SFA반도체,2019
036540,SFA반도체,2020
036540,SFA반도체,2021
036540,SFA반도체,2022
036540,SFA반도체,2023
036540,SFA반도체,2024
036540,SFA반도체,2025
036930,주성엔지니어링,2019
036930,주성엔지니어링,2020
036930,주성엔지니어링,2021
036930,주성엔지니어링,2022
036930,주성엔지니어링,2023
036930,주성엔지니어링,2024
036930,주성엔지니어링,2025
039030,이오테크닉스,2019
039030,이오테크닉스,2020
039030,이오테크닉스,2021
039030,이오테크닉스,2022
039030,이오테크닉스,2023
039030,이오테크닉스,2024
039030,이오테크닉스,2025
042700,한미반도체,2019
042700,한미반도체,2020
042700,한미반도체,2021
042700,한미반도체,2022
042700,한미반도체,2023
042700,한미반도체,2024
042700,한미반도체,2025
061970,LB세미콘,2019
061970,LB세미콘,2020
061970,LB세미콘,2021
061970,LB세미콘,2022
061970,LB세미콘,2023
061970,LB세미콘,2024
061970,LB세미콘,2025
064290,인텍플러스,2019
064290,인텍플러스,2020
064290,인텍플러스,2021
