정기변경일,구성,앵커수,핵심수,위성수,비앵커수용량,구속제약,앵커_규정,앵커_실현,희소조항_흡수,위성_실현,최대단일,캡개입까지_거래일
2020-06-15,3,2,0,1,0.15,"핵심군 부재 - 위성 합계 상한(18%)이 천장, 상한 완화로는 해결 불가",0.4,0.8500000000000001,0.45000000000000007,0.15,0.6301191413005246,2.0
2020-12-14,3,2,0,1,0.15,"핵심군 부재 - 위성 합계 상한(18%)이 천장, 상한 완화로는 해결 불가",0.4,0.85,0.44999999999999996,0.15,0.635546768917207,2.0
2021-06-14,3,2,0,1,0.15,"핵심군 부재 - 위성 합계 상한(18%)이 천장, 상한 완화로는 해결 불가",0.4,0.85,0.44999999999999996,0.15,0.6312408118454303,2.0
2021-12-13,3,2,0,1,0.15,"핵심군 부재 - 위성 합계 상한(18%)이 천장, 상한 완화로는 해결 불가",0.4,0.85,0.44999999999999996,0.15,0.6304582193979917,2.0
2022-06-13,3,2,0,1,0.15,"핵심군 부재 - 위성 합계 상한(18%)이 천장, 상한 완화로는 해결 불가",0.4,0.85,0.44999999999999996,0.15,0.6299696295562722,2.0
2022-12-12,3,2,0,1,0.15,"핵심군 부재 - 위성 합계 상한(18%)이 천장, 상한 완화로는 해결 불가",0.4,0.8500000000000001,0.45000000000000007,0.15,0.6388758061098799,2.0
2023-06-12,3,2,0,1,0.15,"핵심군 부재 - 위성 합계 상한(18%)이 천장, 상한 완화로는 해결 불가",0.4,0.8500000000000001,0.45000000000000007,0.15000000000000002,0.6332765320751891,2.0
2023-12-18,3,2,0,1,0.15,"핵심군 부재 - 위성 합계 상한(18%)이 천장, 상한 완화로는 해결 불가",0.4,0.8500000000000001,0.45000000000000007,0.15,0.6217424684755863,2.0
2024-06-17,4,2,1,1,0.32999999999999996,개별 상한(핵심/위성 종목 수 부족),0.4,0.67,0.27,0.15,0.4596282184053893,2.0
2024-12-16,4,2,1,1,0.32999999999999996,개별 상한(핵심/위성 종목 수 부족),0.4,0.67,0.27,0.15000000000000002,0.4529975794413068,2.0
2025-06-16,6,2,1,3,0.36,위성 합계 상한(18%),0.4,0.6400000000000001,0.2400000000000001,0.18000000000000005,0.4189929987230599,2.0
2025-12-15,6,2,1,3,0.36,위성 합계 상한(18%),0.4,0.6400000000000001,0.2400000000000001,0.18000000000000002,0.3977736859644944,2.0
2026-06-15,7,2,4,1,0.87,없음(40/60 성립),0.4,0.3999999999999999,0.0,0.00715612142664497,0.21378332649807258,
