심사일,후보(원장),적격(사전스크린 통과),구성,앵커,핵심,위성,편입,편출,하한(5) 미달
2020-06-15,25,18,3,2,0,1,"000660,005930,042700",,True
2020-12-14,25,18,3,2,0,1,,,True
2021-06-14,29,21,3,2,0,1,,,True
2021-12-13,29,21,3,2,0,1,,,True
2022-06-13,29,20,3,2,0,1,,,True
2022-12-12,29,20,3,2,0,1,,,True
2023-06-12,33,22,3,2,0,1,,,True
2023-12-18,33,23,3,2,0,1,,,True
2024-06-17,33,24,4,2,1,1,112290,,True
2024-12-16,33,23,4,2,1,1,,,True
2025-06-16,33,23,6,2,1,3,"003160,089030",,False
2025-12-15,33,26,6,2,1,3,,,False
2026-06-15,33,26,7,2,4,1,348210,,False
