지표,평균,중앙,최소,최대
HHI,0.30461932547559717,0.33338597963818783,0.1724771705748179,0.47523572087830196
유효종목수,3.37621552230606,2.999526258081103,2.104218929822574,5.797868765282276
최대비중,0.33159300006278103,0.3382565107297977,0.21378332649807258,0.6388758061098799
상위3비중,0.9268572356117204,1.0,0.5799999999999998,1.0000000000000002
5%초과합계,0.9924185011044839,1.0,0.9283601146836109,1.0000000000000002
앵커합계,0.615059102410894,0.652427884107234,0.3999999999999999,0.8530274109029212
핵심합계,0.08920847205000923,0.0,0.0,0.592843878573355
위성합계,0.29573242553909673,0.3284436409684973,0.005961751508616647,0.45445338360347715
n,3.7216288384512684,3.0,3.0,7.0
[참고한도] 단일종목 10%,,,,초과 1498일 (100.0%)
[참고한도] 단일종목 20%,,,,초과 1498일 (100.0%)
[참고한도] 5% 초과 종목 합계 40%,,,,초과 1498일 (100.0%)
[참고한도] 유효종목수 5 이상,,,,초과 1470일 (98.1%)
