날짜,PR,TR
2020-06-15,1000.0,1000.0
2020-06-16,1040.2530781971361,1040.2530781971361
2020-06-17,1045.4672738696208,1045.4672738696208
2020-06-18,1047.309402109511,1047.309402109511
2020-06-19,1057.9575901343007,1057.9575901343007
2020-06-22,1046.8062259220214,1046.8062259220214
2020-06-23,1033.3177112318197,1033.3177112318197
2020-06-24,1053.1996301315573,1053.1996301315573
2020-06-25,1030.7397582552749,1030.7397582552749
2020-06-26,1039.9468760944114,1039.9468760944114
2020-06-29,1017.8294977760263,1017.8294977760263
2020-06-30,1028.76183630814,1028.76183630814
2020-07-01,1026.4378816252397,1026.4378816252397
2020-07-02,1021.6918203780322,1021.6918203780322
2020-07-03,1054.29503804446,1054.29503804446
2020-07-06,1075.4463206805854,1075.4463206805854
2020-07-07,1052.4372820258234,1052.4372820258234
2020-07-08,1066.246023321198,1066.246023321198
2020-07-09,1069.0747057172614,1069.0747057172614
2020-07-10,1075.0274579116533,1075.0274579116533
2020-07-13,1091.9090672509938,1091.9090672509938
2020-07-14,1108.4251132267818,1108.4251132267818
2020-07-15,1109.9954910561264,1109.9954910561264
2020-07-16,1092.3482390956788,1092.3482390956788
2020-07-17,1138.663038676297,1138.663038676297
2020-07-20,1125.2964250065854,1125.2964250065854
2020-07-21,1211.3041212990925,1211.3041212990925
2020-07-22,1217.691468645042,1217.691468645042
2020-07-23,1226.7959414920742,1226.7959414920742
2020-07-24,1237.3126102122346,1237.3126102122346
2020-07-27,1256.5757208899804,1256.5757208899804
2020-07-28,1279.4135149435585,1279.4135149435585
2020-07-29,1287.0194068346825,1287.0194068346825
2020-07-30,1293.1795404364104,1293.1795404364104
2020-07-31,1255.187552655771,1255.187552655771
2020-08-03,1260.2660611150532,1260.2660611150532
2020-08-04,1260.3643646695193,1260.3643646695193
2020-08-05,1244.1534127464936,1244.1534127464936
2020-08-06,1247.3624109585276,1247.3624109585276
2020-08-07,1242.8510509322077,1242.8510509322077
2020-08-10,1250.8983723703918,1250.8983723703918
2020-08-11,1267.14746168039,1267.14746168039
2020-08-12,1254.17951879792,1254.17951879792
2020-08-13,1240.061996599935,1240.061996599935
2020-08-14,1218.5241901761017,1218.5241901761017
2020-08-18,1191.6271823577981,1191.6271823577981
2020-08-19,1183.3697725042928,1183.3697725042928
2020-08-20,1118.5233823852884,1118.5233823852884
2020-08-21,1138.5108940450775,1138.5108940450775
2020-08-24,1145.8173917495149,1145.8173917495149
2020-08-25,1166.1131706370563,1166.1131706370563
2020-08-26,1168.4649761670316,1168.4649761670316
2020-08-27,1153.7706010320635,1153.7706010320635
2020-08-28,1151.4893396843784,1151.4893396843784
2020-08-31,1131.8186412217785,1131.8186412217785
2020-09-01,1138.9865730868823,1138.9865730868823
2020-09-02,1143.7264246480659,1143.7264246480659
2020-09-03,1188.7068072362017,1188.7068072362017
2020-09-04,1175.6975451245091,1175.6975451245091
2020-09-07,1180.4899905296984,1180.4899905296984
2020-09-08,1230.5684761631924,1230.5684761631924
2020-09-09,1225.2647118563343,1225.2647118563343
2020-09-10,1227.3365185858295,1227.3365185858295
2020-09-11,1222.069279632499,1222.069279632499
2020-09-14,1245.51203195985,1245.51203195985
2020-09-15,1250.0576315820433,1250.0576315820433
2020-09-16,1238.7843556289442,1238.7843556289442
2020-09-17,1220.7027195329151,1220.7027195329151
2020-09-18,1226.875441195613,1226.875441195613
2020-09-21,1220.9608302287927,1220.9608302287927
2020-09-22,1192.2420252802729,1192.2420252802729
2020-09-23,1214.062035365248,1214.062035365248
2020-09-24,1200.8860885906263,1200.8860885906263
2020-09-25,1190.8161306315585,1190.8161306315585
2020-09-28,1207.5549530643586,1207.5549530643586
2020-09-29,1218.8306802625007,1218.8306802625007
2020-10-05,1221.9964722475615,1221.9964722475615
2020-10-06,1221.2383075628968,1221.2383075628968
2020-10-07,1231.3482959831335,1231.3482959831335
2020-10-08,1225.5776064298755,1225.5776064298755
2020-10-12,1266.4209304397266,1266.4209304397266
2020-10-13,1294.7439402857694,1294.7439402857694
2020-10-14,1278.6522746917583,1278.6522746917583
2020-10-15,1267.6314372756342,1267.6314372756342
2020-10-16,1266.9842238430936,1266.9842238430936
2020-10-19,1281.177396701652,1281.177396701652
